GeneSymbol	log2FC	p_value_or_padj	Dataset	Comparison	Direction	In_CTD_marker	In_CTD_therapeutic	In_CTD_inferred	In_GeneCards_AD	Species
NFKBID	2.41	0.00146	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
NLRP10	2.05	9.70E-05	GSE74136_24	Canine_24h	Up	yes	yes	no	no	Canine
NLRP10	2.41	3.80E-07	GSE74136_48	Canine_48h	Up	yes	yes	no	no	Canine
NNMT	2.78	4.40E-08	GSE58442_24	Canine_24h	Up	yes	yes	no	no	Canine
NRAP	-2.01	0.28	GSE74136_48	Canine_48h	Down	yes	yes	no	no	Canine
OSCAR	2.9	3.80E-08	GSE58442_24	Canine_24h	Up	yes	yes	no	no	Canine
P2RY12	4.54	0.00012	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
PARVG	2.66	0.0061	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
PDK4	-2.05	0.0013	GSE74136_48	Canine_48h	Down	yes	yes	no	no	Canine
PDZK1	2.1	5.00E-05	PRJEB38104	Canine_DGEs	Up	yes	yes	no	no	Canine
PHEX	3.5	2.00E-07	GSE58442_24	Canine_24h	Up	yes	yes	no	no	Canine
PLAAT4	2.47	0.0024	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
PLAC8	2.85	1.40E-07	GSE74136_48	Canine_48h	Up	yes	yes	no	no	Canine
PLEK	7.49	6.64E-12	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
PLEKHD1	-2.41	1.73E-08	PRJNA1148493	Canine_DGEs	Down	yes	yes	no	no	Canine
PLSCR1	2.35	1.80E-08	GSE58442_24	Canine_24h	Up	yes	yes	no	no	Canine
PODNL1	4.43	2.15E-06	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
POSTN	2.03	5.30E-05	GSE74136_48	Canine_48h	Up	yes	yes	no	yes	Canine
POSTN	2.22	0.00673	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	yes	Canine
